cve_id,degree_cent,betweenness,closeness,pagerank,cvss_score,severity
CVE-2021-44228,0.2409332995181334,0.075402994969595,0.4855313385051102,0.00140710922754975,10.0,CRITICAL
CVE-2021-22946,0.29622115140755767,0.010444102681582417,0.4923211387189412,0.0007479995651649155,7.5,HIGH
CVE-2021-3450,0.13796601572406797,0.015858469902530672,0.4502683567431769,0.0007231281860484309,7.4,HIGH
CVE-2021-37969,0.34846563530306873,0.03616603671308048,0.5138798383943699,0.0007187077896454432,7.8,HIGH
CVE-2021-40438,0.23459294953081408,0.0050866082650668784,0.47724521907528444,0.0006986430085298515,9.0,CRITICAL
CVE-2021-21233,0.3383210753233578,0.03088619320086747,0.5119449493638016,0.0006946073293460786,8.8,HIGH
CVE-2021-21172,0.3383210753233578,0.03088619320086747,0.5119449493638016,0.0006946073293460786,8.1,HIGH
CVE-2021-0326,0.2657874714684251,0.13935797918237453,0.4866699580350531,0.0006876714147640633,7.5,HIGH
CVE-2021-37980,0.3238650773522698,0.028502438865641157,0.5059019758788812,0.0006675119335117132,7.4,HIGH
CVE-2021-44790,0.27111336545777326,0.006640050267429374,0.48535204332840964,0.0006651349067296433,9.8,CRITICAL
CVE-2021-4166,0.2797362414405275,0.005519679673789043,0.48595020951441953,0.0006501721362052619,7.1,HIGH
CVE-2021-41864,0.28759827542480343,0.004764788424089184,0.4901790154152163,0.0006482424251379659,7.8,HIGH
CVE-2021-44224,0.26477301547045395,0.005447173698377281,0.48220618808854104,0.0006386197179239126,8.2,HIGH
CVE-2021-34798,0.23281765153436468,0.0035523912034801605,0.47666827852998067,0.0006354859891230482,7.5,HIGH
CVE-2021-45444,0.27745371544509256,0.005020192512996774,0.48505351211711156,0.000633554084424369,7.8,HIGH
CVE-2021-20322,0.2688308394623383,0.00486487652265544,0.4833885006742675,0.0006301362003704988,7.4,HIGH
CVE-2021-45469,0.2812579254374841,0.0035366569031803708,0.48595020951441953,0.0006262783835956226,7.8,HIGH
CVE-2021-40690,0.16637078366725844,0.014440329761903497,0.43296365433183265,0.0006223677503851282,7.5,HIGH
CVE-2021-30984,0.26832361146335276,0.004999633342445347,0.4815583781143136,0.0006188682016264001,7.5,HIGH
CVE-2021-30951,0.26832361146335276,0.004999633342445347,0.4815583781143136,0.0006188682016264001,8.8,HIGH
CVE-2021-30934,0.26832361146335276,0.004999633342445347,0.4815583781143136,0.0006188682016264001,8.8,HIGH
CVE-2021-30953,0.26832361146335276,0.004999633342445347,0.4815583781143136,0.0006188682016264001,8.8,HIGH
CVE-2021-30952,0.26832361146335276,0.004999633342445347,0.4815583781143136,0.0006188682016264001,7.8,HIGH
CVE-2021-30954,0.26832361146335276,0.004999633342445347,0.4815583781143136,0.0006188682016264001,7.8,HIGH
CVE-2021-30858,0.2657874714684251,0.005829905849010517,0.4811470408785845,0.0006104420302792087,8.8,HIGH
CVE-2021-30846,0.2657874714684251,0.005829905849010517,0.4811470408785845,0.0006104420302792087,7.8,HIGH
CVE-2021-30851,0.2657874714684251,0.005829905849010517,0.4811470408785845,0.0006104420302792087,8.8,HIGH
CVE-2021-3752,0.2688308394623383,0.0033076403866836657,0.4823831661365305,0.0006070908832659841,7.1,HIGH
CVE-2021-22945,0.25031701749936597,0.005826117697779721,0.46273911512733246,0.0006006286645899164,9.1,CRITICAL
CVE-2021-21196,0.28911995942176005,0.024715718897448124,0.49404836486655807,0.0005964646955189006,8.8,HIGH
CVE-2021-39275,0.22850621354298756,0.002945976979761263,0.4755185721177038,0.0005954232962510086,9.8,CRITICAL
CVE-2021-40490,0.262490489475019,0.0038441359330357904,0.4817937438905181,0.0005919084496501471,7.0,HIGH
CVE-2021-4192,0.25843266548313465,0.00446435881101863,0.4793920972644377,0.0005909619389278645,7.8,HIGH
CVE-2021-41073,0.26198326147603346,0.004086105485765607,0.4815583781143136,0.0005896402746734144,7.8,HIGH
CVE-2021-34424,0.18818158762363682,0.007216464677244714,0.39152020653361136,0.0005885665908474106,7.5,HIGH
CVE-2021-34423,0.18818158762363682,0.007216464677244714,0.39152020653361136,0.0005885665908474106,9.8,CRITICAL
CVE-2021-45046,0.2082170935835658,0.024009162264092807,0.4727817745803357,0.0005884948702151061,9.0,CRITICAL
CVE-2021-33909,0.2637585594724829,0.0030655422941646636,0.48073640575469395,0.0005872036508550913,7.8,HIGH
CVE-2021-30936,0.25361399949277197,0.0046964059335047464,0.47707199032062914,0.0005868320084172478,8.8,HIGH
CVE-2021-44733,0.25361399949277197,0.002688704876927147,0.4501655440118735,0.0005800506456008162,7.0,HIGH
CVE-2021-41991,0.22875982754248034,0.003937730292109679,0.47523201157044714,0.0005757128839805663,7.5,HIGH
CVE-2021-3347,0.25843266548313465,0.0035884981526533677,0.4783452626470945,0.0005746892548984962,7.8,HIGH
CVE-2021-34551,0.2772001014455998,0.024088495497963727,0.49115595416043845,0.0005723313379142041,8.1,HIGH
CVE-2021-21300,0.25133147349733703,0.004467822004774686,0.4774763865342698,0.0005711658815137651,8.0,HIGH
CVE-2021-35197,0.23078873953842252,0.002536671916198,0.4754039064383892,0.0005695213970975081,7.5,HIGH
CVE-2021-45078,0.22394116155211766,0.0020337698676171252,0.47317892715708626,0.0005663912478350799,7.8,HIGH
CVE-2021-34714,0.007101191985797616,0.010131859091261733,0.33004101448062273,0.0005627544842852074,7.4,HIGH
CVE-2021-37712,0.26122241947755515,0.019411299913757247,0.4601470416618042,0.0005622365925062054,8.2,HIGH
CVE-2021-1871,0.24017245751965507,0.005491210847131345,0.47255512943432404,0.0005595204426784537,9.8,CRITICAL
CVE-2021-1788,0.24017245751965507,0.005491210847131345,0.47255512943432404,0.0005595204426784537,8.8,HIGH
CVE-2021-1844,0.23966522952066954,0.005335749652789351,0.4724418883297388,0.0005579240485230571,8.8,HIGH
CVE-2021-23134,0.2427085975145828,0.0037367260254808697,0.47603525292768323,0.0005563375682167383,7.8,HIGH
CVE-2021-3612,0.23154958153690083,0.002937111804414354,0.47289517869992803,0.0005449671802363476,7.8,HIGH
CVE-2021-3640,0.2272381435455237,0.0028781068002621127,0.4700762994754411,0.000538621751335644,7.0,HIGH
CVE-2021-38166,0.24118691351762617,0.003362759203936793,0.475117484034221,0.0005373282610801354,7.8,HIGH
CVE-2021-30547,0.22444838955110322,0.005705894334196606,0.4726684248381683,0.0005350558653227346,8.8,HIGH
CVE-2021-21341,0.23535379152929242,0.001055623929865851,0.47666827852998067,0.0005343429285546076,7.5,HIGH
CVE-2021-21703,0.22926705554146587,0.0011909254589849265,0.4750602409638554,0.0005314735123704159,7.8,HIGH
CVE-2021-36160,0.22901344154197312,0.0013002027383909357,0.4757480694980695,0.0005297403434751553,7.5,HIGH
CVE-2021-3156,0.20618818158762364,0.00386956255600529,0.4697402906838218,0.0005293219915878079,7.8,HIGH
CVE-2021-21150,0.25412122749175753,0.016279684621756028,0.4697962587870845,0.0005275755868498774,9.6,CRITICAL
CVE-2021-21155,0.25412122749175753,0.016279684621756028,0.4697962587870845,0.0005275755868498774,9.6,CRITICAL
CVE-2021-20270,0.20213035759573927,0.0025180163077299657,0.4666824476269381,0.0005233745667644564,7.5,HIGH
CVE-2021-3115,0.23865077352269845,0.014520802350660805,0.4528020211299954,0.0005206215782721551,7.5,HIGH
CVE-2021-3656,0.2127821455744357,0.004073173994254657,0.4647024160282852,0.0005196382631956637,8.8,HIGH
CVE-2021-39149,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39153,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39139,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39145,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39152,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39141,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39150,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39146,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39154,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39148,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39151,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39144,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-39147,0.23205680953588637,0.0010631362574516578,0.47707199032062914,0.0005185099379313273,8.5,HIGH
CVE-2021-1257,0.16003043367993913,0.0027881450595355637,0.3872139840911323,0.0005145490410560481,8.8,HIGH
CVE-2021-44142,0.21126046157747908,0.0015781146317910325,0.46918134221799146,0.0005138981666925845,8.8,HIGH
CVE-2021-3760,0.2236875475526249,0.002274828609802331,0.46884661117717,0.0005094950074838704,7.8,HIGH
CVE-2021-30507,0.1810803956378392,0.008581063179208105,0.45784951230840687,0.0005094288133808684,8.8,HIGH
CVE-2021-30521,0.1810803956378392,0.008581063179208105,0.45784951230840687,0.0005094288133808684,8.8,HIGH
CVE-2021-30506,0.1810803956378392,0.008581063179208105,0.45784951230840687,0.0005094288133808684,8.8,HIGH
CVE-2021-30528,0.1810803956378392,0.008581063179208105,0.45784951230840687,0.0005094288133808684,8.8,HIGH
CVE-2021-25215,0.2226730915546538,0.0015224926240409817,0.47431733429568146,0.0005089426559645984,7.5,HIGH
CVE-2021-21179,0.22850621354298756,0.008787179272616812,0.4781712345379578,0.0005083106629045484,8.8,HIGH
CVE-2021-29505,0.23104235353791527,0.0005982504431316524,0.4756906743877428,0.0005077695533064412,7.5,HIGH
CVE-2021-29154,0.21709358356581282,0.00339629784671816,0.4680674264007597,0.0005072380431221382,7.8,HIGH
CVE-2021-44014,0.02155718995688562,0.004793394615666758,0.2510026099688077,0.0005062041143153671,7.8,HIGH
CVE-2021-44002,0.02155718995688562,0.004793394615666758,0.2510026099688077,0.0005062041143153671,7.8,HIGH
CVE-2021-28660,0.2165863555668273,0.0033904154517211335,0.4679563256586755,0.0005061153177637473,8.8,HIGH
CVE-2021-33034,0.22216586355566825,0.002241635280157914,0.4685123574144487,0.0005043730733311263,7.8,HIGH
CVE-2021-38160,0.21607912756784173,0.0020738537402841895,0.44124888093106535,0.0005032066319067203,7.8,HIGH
CVE-2021-38300,0.21227491757545017,0.002262902599505907,0.4413476606223416,0.0005004894804939524,7.8,HIGH
CVE-2021-45079,0.22318031955363934,0.0010090335069207728,0.4728384698405085,0.000500118241623983,9.1,CRITICAL
CVE-2021-33285,0.2300278975399442,0.0005855074520612449,0.4755185721177038,0.0004978396028922666,7.8,HIGH
CVE-2021-21996,0.22875982754248034,0.0005294908453242122,0.47494579619368826,0.0004963431528907321,7.5,HIGH
CVE-2021-28455,0.11108293177783413,0.027966959355302468,0.27051317233809,0.0004952086086120913,8.8,HIGH
CVE-2021-3517,0.19680446360639106,0.0020856709830667083,0.4667376893939394,0.000494847945210597,8.6,HIGH
CVE-2021-41817,0.22394116155211766,0.0006237238775576035,0.47312215022798176,0.0004938203474182702,7.5,HIGH
CVE-2021-37136,0.13542987572914025,0.003599715342643476,0.42049696064839504,0.000492110810996557,7.5,HIGH
CVE-2021-41819,0.2229267055541466,0.0006202440650767591,0.47289517869992803,0.0004918543750904094,7.5,HIGH
CVE-2021-4083,0.21075323357849352,0.001963333262774483,0.43967439785905443,0.0004893803083987773,7.0,HIGH
CVE-2021-33200,0.21075323357849352,0.0032917323323591865,0.4649764150943396,0.000489093745860514,7.8,HIGH
CVE-2021-26691,0.21988333756023332,0.0008784868665907072,0.4734630163304515,0.0004890781274968756,9.8,CRITICAL
CVE-2021-26930,0.21303575957392848,0.002881114868429101,0.4656353330184223,0.0004862871474740028,7.8,HIGH
CVE-2021-28375,0.2099923915800152,0.0032573409956638535,0.4648119768949664,0.00048543101138615865,7.8,HIGH
CVE-2021-28952,0.2099923915800152,0.0032573409956638535,0.4648119768949664,0.00048543101138615865,7.8,HIGH
CVE-2021-39251,0.22394116155211766,0.0005642193738406054,0.4726684248381683,0.00048542139650896573,7.8,HIGH
CVE-2021-43818,0.22241947755516103,0.0004731596120006281,0.4724985020970641,0.00048459672490759056,8.2,HIGH
CVE-2021-25217,0.18158762363682474,0.0019699828910714878,0.4612235349163645,0.000481526146845448,7.4,HIGH
CVE-2021-20277,0.21227491757545017,0.0008308608963433063,0.47024448419797255,0.0004814757501160596,7.5,HIGH
CVE-2021-3927,0.22343393355313212,0.000360826314824462,0.47363363363363364,0.0004769015768427203,7.8,HIGH
CVE-2021-3928,0.22343393355313212,0.000360826314824462,0.47363363363363364,0.0004769015768427202,7.8,HIGH
CVE-2021-35063,0.21481105757037788,0.0006000169604967111,0.47063738362377655,0.00047593287499554573,7.5,HIGH
CVE-2021-43267,0.20770986558458027,0.0023613351814018918,0.46257625527921165,0.00047540339385707207,9.8,CRITICAL
CVE-2021-33287,0.22140502155718994,0.00037357555261240344,0.4715943069010884,0.00047358896633694004,7.8,HIGH
CVE-2021-39254,0.22140502155718994,0.00037357555261240344,0.4715943069010884,0.00047358896633694004,7.8,HIGH
CVE-2021-35269,0.22140502155718994,0.00037357555261240344,0.4715943069010884,0.00047358896633694004,7.8,HIGH
CVE-2021-39253,0.22140502155718994,0.00037357555261240344,0.4715943069010884,0.00047358896633694004,7.8,HIGH
CVE-2021-33289,0.22140502155718994,0.00037357555261240344,0.4715943069010884,0.00047358896633693993,7.8,HIGH
CVE-2021-39252,0.22140502155718994,0.00037357555261240344,0.4715943069010884,0.00047358896633693993,7.8,HIGH
CVE-2021-35266,0.22140502155718994,0.00037357555261240344,0.4715943069010884,0.00047358896633693993,7.8,HIGH
CVE-2021-35268,0.22140502155718994,0.00037357555261240344,0.4715943069010884,0.00047358896633693993,7.8,HIGH
CVE-2021-35267,0.22140502155718994,0.00037357555261240344,0.4715943069010884,0.00047358896633693993,7.8,HIGH
CVE-2021-31914,0.14177022571645956,0.006570557420935956,0.37779055284085467,0.0004734088539832383,9.8,CRITICAL
CVE-2021-4136,0.19832614760334769,0.003031335883887575,0.46057703539306155,0.00047098739112962323,7.8,HIGH
CVE-2021-3148,0.2173471975653056,0.00043963995625409655,0.47148152576826496,0.00047055805886502135,9.8,CRITICAL
CVE-2021-3144,0.2173471975653056,0.00043963995625409655,0.47148152576826496,0.00047055805886502135,9.1,CRITICAL
CVE-2021-25282,0.2173471975653056,0.00043963995625409655,0.47148152576826496,0.00047055805886502135,9.1,CRITICAL
CVE-2021-25283,0.2173471975653056,0.00043963995625409655,0.47148152576826496,0.00047055805886502135,9.8,CRITICAL
CVE-2021-3197,0.2173471975653056,0.00043963995625409655,0.47148152576826496,0.00047055805886502135,9.8,CRITICAL
CVE-2021-25281,0.2173471975653056,0.00043963995625409655,0.47148152576826496,0.00047055805886502135,9.8,CRITICAL
CVE-2021-21900,0.21937610956124778,0.00029996821154987144,0.4717635798037808,0.0004701172051109719,8.8,HIGH
CVE-2021-4009,0.21937610956124778,0.00029996821154987144,0.4717635798037808,0.0004701172051109719,7.8,HIGH
CVE-2021-4019,0.21937610956124778,0.00029996821154987144,0.4717635798037808,0.0004701172051109719,7.8,HIGH
CVE-2021-21898,0.21937610956124778,0.00029996821154987144,0.4717635798037808,0.0004701172051109719,8.8,HIGH
CVE-2021-4008,0.21937610956124778,0.00029996821154987144,0.4717635798037808,0.0004701172051109719,7.8,HIGH
CVE-2021-44143,0.21937610956124778,0.00029996821154987144,0.4717635798037808,0.0004701172051109719,9.8,CRITICAL
CVE-2021-21899,0.21937610956124778,0.00029996821154987144,0.4717635798037808,0.0004701172051109719,8.8,HIGH
CVE-2021-4011,0.21937610956124778,0.00029996821154987144,0.4717635798037808,0.0004701172051109719,7.8,HIGH
CVE-2021-39922,0.21937610956124778,0.00029996821154987144,0.4717635798037808,0.0004701172051109719,7.5,HIGH
CVE-2021-39929,0.21937610956124778,0.00029996821154987144,0.4717635798037808,0.0004701172051109719,7.5,HIGH
CVE-2021-1726,0.10753233578493533,0.017209592933286354,0.2701795258325339,0.0004699572481062434,8.0,HIGH
CVE-2021-26690,0.21607912756784173,0.00037260872377808333,0.47103094015051966,0.00046957461674832483,7.5,HIGH
